entry_pct,n_total,n_closed,wins,losses,no_entry,not_filled,open,invalid,WR_%,total_R,R_per_trade
0.1,670,175,101,74,459,36,0,0,57.7,27.0,0.154
0.2,670,200,121,79,435,35,0,0,60.5,42.0,0.21
0.3,670,204,124,80,431,35,0,0,60.8,44.0,0.216
0.4,670,218,133,85,417,35,0,0,61.0,48.0,0.22
0.5,670,233,140,93,402,35,0,0,60.1,47.0,0.202
0.6,670,234,141,93,403,33,0,0,60.3,48.0,0.205
0.7,670,261,154,107,382,27,0,0,59.0,47.0,0.18
0.8,670,281,165,116,362,27,0,0,58.7,49.0,0.174
0.9,670,298,172,126,349,23,0,0,57.7,46.0,0.154
