signal_time,direction,outcome,R,hull_1d,hull_4h,hull_1h,ema200_4h,ema200_1h,ema200_15m,asvk_zone_1h,mh_color_1h,mh_mf_1h,hour,weekday,session,do_align,ob_tf,fvg_tf
2023-05-17T06:45:00+00:00,LONG,loss,-1.0,counter,aligned,counter,counter,counter,counter,neutral,green,counter,6,Wednesday,Asia,aligned,1h,15m
2023-05-18T01:45:00+00:00,SHORT,win,1.0,aligned,counter,counter,aligned,counter,counter,red,green,aligned,1,Thursday,Asia,counter,1h,15m
2023-05-19T21:15:00+00:00,LONG,win,1.0,counter,counter,aligned,counter,counter,counter,neutral,green,aligned,21,Friday,off,counter,1h,15m
2023-06-10T13:30:00+00:00,LONG,win,1.0,counter,counter,counter,counter,counter,counter,green,red,counter,13,Saturday,NY,aligned,1h,15m
2023-06-18T04:15:00+00:00,SHORT,loss,-1.0,counter,counter,aligned,aligned,counter,counter,yellow_OB,grey_from_green,counter,4,Sunday,Asia,aligned,1h,15m
2023-06-19T23:00:00+00:00,SHORT,loss,-1.0,counter,counter,counter,counter,counter,counter,yellow_OB,green,counter,23,Monday,off,aligned,1h,15m
2023-06-27T20:20:00+00:00,SHORT,win,1.0,counter,aligned,counter,counter,counter,counter,neutral,green,aligned,20,Tuesday,off,aligned,1h,20m
2023-06-28T18:20:00+00:00,LONG,loss,-1.0,aligned,counter,counter,aligned,aligned,counter,yellow_OS,grey_from_red,counter,18,Wednesday,off,aligned,2h,20m
2023-06-28T20:45:00+00:00,LONG,win,1.0,aligned,counter,counter,aligned,aligned,counter,green,grey_from_red,counter,20,Wednesday,off,aligned,1h,15m
2023-07-06T22:20:00+00:00,LONG,loss,-1.0,aligned,counter,counter,aligned,counter,counter,yellow_OS,red,counter,22,Thursday,off,aligned,1h,20m
2023-07-07T01:45:00+00:00,LONG,win,1.0,aligned,counter,counter,aligned,counter,counter,yellow_OS,red,counter,1,Friday,Asia,counter,1h,15m
2023-07-23T00:00:00+00:00,LONG,win,1.0,counter,aligned,counter,aligned,counter,counter,yellow_OS,red,counter,0,Sunday,Asia,aligned,1h,15m
2023-07-23T03:45:00+00:00,SHORT,loss,-1.0,aligned,counter,aligned,counter,aligned,aligned,neutral,red,aligned,3,Sunday,Asia,aligned,2h,15m
2023-08-05T13:15:00+00:00,LONG,win,1.0,counter,counter,counter,counter,counter,counter,yellow_OS,red,counter,13,Saturday,NY,aligned,1h,15m
2023-08-13T01:30:00+00:00,SHORT,win,1.0,aligned,aligned,counter,aligned,counter,counter,yellow_OB,grey_from_green,counter,1,Sunday,Asia,aligned,1h,15m
2023-08-14T06:15:00+00:00,SHORT,loss,-1.0,aligned,aligned,counter,aligned,counter,counter,yellow_OB,grey_from_red,counter,6,Monday,Asia,aligned,1h,15m
2023-08-16T12:45:00+00:00,LONG,loss,-1.0,counter,counter,counter,counter,counter,counter,yellow_OS,grey_from_red,counter,12,Wednesday,NY,aligned,1h,15m
2023-10-01T07:30:00+00:00,SHORT,loss,-1.0,counter,counter,counter,counter,counter,counter,yellow_OB,green,counter,7,Sunday,London,aligned,1h,15m
2023-10-07T15:45:00+00:00,SHORT,win,1.0,counter,counter,aligned,counter,counter,counter,neutral,green,counter,15,Saturday,NY,aligned,1h,15m
2023-12-23T17:45:00+00:00,SHORT,win,1.0,counter,counter,counter,counter,counter,counter,yellow_OB,green,counter,17,Saturday,off,counter,2h,15m
2024-02-09T14:20:00+00:00,SHORT,loss,-1.0,counter,counter,counter,counter,counter,counter,red,green,counter,14,Friday,NY,aligned,2h,20m
2024-02-18T23:30:00+00:00,SHORT,loss,-1.0,counter,aligned,counter,counter,counter,counter,yellow_OB,green,counter,23,Sunday,off,aligned,1h,15m
2024-02-21T15:30:00+00:00,LONG,win,1.0,aligned,counter,counter,aligned,aligned,counter,green,red,counter,15,Wednesday,NY,aligned,1h,15m
2024-02-23T23:30:00+00:00,LONG,loss,-1.0,aligned,counter,counter,aligned,counter,counter,yellow_OS,grey_from_red,counter,23,Friday,off,aligned,2h,15m
2024-02-26T00:00:00+00:00,SHORT,win,1.0,counter,counter,aligned,counter,counter,counter,yellow_OB,green,counter,0,Monday,Asia,aligned,1h,15m
2024-03-20T02:15:00+00:00,LONG,loss,-1.0,counter,counter,counter,counter,counter,counter,yellow_OS,red,counter,2,Wednesday,Asia,counter,1h,15m
2024-03-28T23:45:00+00:00,SHORT,win,1.0,aligned,counter,counter,counter,counter,counter,neutral,grey_from_green,counter,23,Thursday,off,aligned,2h,15m
2024-05-04T20:45:00+00:00,SHORT,win,1.0,aligned,counter,aligned,aligned,counter,counter,red,grey_from_green,counter,20,Saturday,off,aligned,1h,15m
2024-05-11T15:15:00+00:00,LONG,win,1.0,counter,counter,aligned,counter,counter,counter,neutral,grey_from_red,aligned,15,Saturday,NY,counter,2h,15m
2024-05-13T21:20:00+00:00,SHORT,win,1.0,counter,counter,counter,aligned,counter,counter,red,grey_from_green,counter,21,Monday,off,aligned,1h,20m
2024-05-19T04:15:00+00:00,SHORT,loss,-1.0,counter,counter,aligned,counter,counter,counter,yellow_OB,green,counter,4,Sunday,Asia,aligned,2h,15m
2024-06-03T02:45:00+00:00,SHORT,loss,-1.0,counter,counter,counter,counter,counter,counter,yellow_OB,green,counter,2,Monday,Asia,aligned,1h,15m
2024-06-09T01:30:00+00:00,LONG,loss,-1.0,aligned,counter,aligned,aligned,counter,counter,green,red,counter,1,Sunday,Asia,aligned,1h,15m
2024-07-16T08:30:00+00:00,SHORT,loss,-1.0,counter,counter,aligned,counter,counter,counter,yellow_OS,grey_from_green,counter,8,Tuesday,London,counter,1h,15m
2024-08-23T07:30:00+00:00,SHORT,win,1.0,counter,counter,counter,counter,counter,counter,yellow_OB,green,counter,7,Friday,London,aligned,2h,15m
2024-08-28T19:00:00+00:00,LONG,win,1.0,counter,counter,counter,counter,counter,counter,yellow_OS,grey_from_red,counter,19,Wednesday,off,aligned,1h,15m
2024-09-24T21:30:00+00:00,SHORT,loss,-1.0,counter,aligned,counter,counter,counter,counter,yellow_OB,green,counter,21,Tuesday,off,aligned,1h,15m
2024-09-24T23:30:00+00:00,SHORT,win,1.0,counter,aligned,counter,counter,counter,counter,yellow_OB,green,counter,23,Tuesday,off,aligned,1h,15m
2024-09-26T00:15:00+00:00,LONG,loss,-1.0,aligned,counter,counter,aligned,aligned,counter,green,red,counter,0,Thursday,Asia,counter,1h,15m
2024-10-01T00:45:00+00:00,LONG,win,1.0,aligned,counter,counter,aligned,counter,counter,green,grey_from_red,counter,0,Tuesday,Asia,counter,2h,15m
2024-10-23T01:20:00+00:00,LONG,loss,-1.0,aligned,counter,aligned,aligned,aligned,counter,neutral,green,counter,1,Wednesday,Asia,aligned,1h,20m
2024-11-02T18:45:00+00:00,LONG,loss,-1.0,aligned,counter,aligned,aligned,counter,counter,yellow_OS,red,counter,18,Saturday,off,aligned,1h,15m
2024-12-04T21:45:00+00:00,SHORT,loss,-1.0,counter,counter,counter,counter,counter,counter,yellow_OB,grey_from_green,counter,21,Wednesday,off,aligned,1h,15m
2024-12-09T07:45:00+00:00,LONG,loss,-1.0,counter,counter,counter,aligned,aligned,counter,yellow_OS,red,counter,7,Monday,London,aligned,1h,15m
2024-12-10T04:45:00+00:00,LONG,win,1.0,counter,counter,counter,aligned,counter,counter,yellow_OS,grey_from_red,counter,4,Tuesday,Asia,aligned,2h,15m
2024-12-14T02:15:00+00:00,SHORT,win,1.0,aligned,counter,counter,counter,counter,counter,yellow_OB,green,counter,2,Saturday,Asia,aligned,1h,15m
2025-01-09T22:45:00+00:00,LONG,win,1.0,counter,counter,aligned,counter,counter,counter,green,grey_from_red,counter,22,Thursday,off,aligned,2h,15m
2025-01-13T03:20:00+00:00,LONG,win,1.0,counter,aligned,counter,counter,counter,counter,neutral,red,counter,3,Monday,Asia,aligned,1h,20m
2025-02-10T19:45:00+00:00,SHORT,loss,-1.0,aligned,counter,counter,aligned,aligned,counter,yellow_OB,grey_from_green,counter,19,Monday,off,aligned,1h,15m
2025-02-12T01:45:00+00:00,LONG,loss,-1.0,counter,counter,counter,counter,counter,counter,yellow_OS,red,aligned,1,Wednesday,Asia,counter,2h,15m
2025-04-05T14:20:00+00:00,LONG,win,1.0,aligned,counter,counter,counter,counter,counter,yellow_OS,red,counter,14,Saturday,NY,aligned,2h,20m
2025-04-21T09:20:00+00:00,SHORT,win,1.0,counter,counter,counter,counter,counter,counter,red,green,counter,9,Monday,London,aligned,1h,20m
2025-05-07T09:15:00+00:00,SHORT,win,1.0,counter,counter,counter,counter,counter,counter,red,grey_from_green,aligned,9,Wednesday,London,aligned,2h,15m
2025-05-20T23:45:00+00:00,SHORT,loss,-1.0,counter,counter,counter,counter,counter,counter,yellow_OB,green,counter,23,Tuesday,off,aligned,1h,15m
2025-06-14T19:00:00+00:00,LONG,win,1.0,counter,counter,counter,aligned,counter,counter,yellow_OS,red,counter,19,Saturday,off,aligned,1h,15m
2025-06-30T17:00:00+00:00,LONG,loss,-1.0,counter,counter,counter,aligned,aligned,counter,yellow_OS,red,counter,17,Monday,off,aligned,1h,15m
2025-07-01T07:00:00+00:00,LONG,loss,-1.0,counter,counter,counter,aligned,aligned,counter,green,red,counter,7,Tuesday,London,aligned,2h,15m
2025-07-07T21:45:00+00:00,LONG,win,1.0,aligned,counter,counter,aligned,aligned,counter,yellow_OS,red,counter,21,Monday,off,aligned,1h,15m
2025-07-22T05:15:00+00:00,LONG,win,1.0,aligned,counter,counter,aligned,counter,counter,yellow_OS,red,counter,5,Tuesday,Asia,aligned,1h,15m
2025-07-25T23:45:00+00:00,LONG,win,1.0,aligned,counter,aligned,aligned,counter,aligned,yellow_OB,green,aligned,23,Friday,off,aligned,1h,15m
2025-07-28T01:45:00+00:00,SHORT,loss,-1.0,counter,counter,counter,counter,counter,counter,yellow_OB,green,counter,1,Monday,Asia,counter,1h,15m
2025-09-26T15:20:00+00:00,LONG,win,1.0,counter,counter,aligned,counter,counter,counter,neutral,grey_from_red,counter,15,Friday,NY,counter,2h,20m
2025-10-22T22:00:00+00:00,LONG,win,1.0,counter,counter,counter,counter,counter,counter,yellow_OS,red,counter,22,Wednesday,off,aligned,1h,15m
2025-11-30T22:15:00+00:00,LONG,loss,-1.0,counter,counter,aligned,counter,aligned,aligned,neutral,grey_from_green,counter,22,Sunday,off,counter,1h,15m
2025-12-11T17:30:00+00:00,LONG,win,1.0,aligned,counter,counter,counter,counter,counter,yellow_OS,grey_from_red,counter,17,Thursday,off,aligned,1h,15m
2025-12-11T22:20:00+00:00,SHORT,win,1.0,counter,counter,counter,aligned,counter,counter,red,green,aligned,22,Thursday,off,aligned,1h,20m
2025-12-14T06:00:00+00:00,LONG,loss,-1.0,aligned,counter,aligned,counter,counter,counter,yellow_OS,green,counter,6,Sunday,Asia,aligned,2h,15m
2025-12-19T17:00:00+00:00,SHORT,win,1.0,counter,counter,aligned,aligned,aligned,counter,neutral,green,counter,17,Friday,off,aligned,1h,15m
2025-12-22T23:00:00+00:00,LONG,loss,-1.0,aligned,aligned,counter,counter,aligned,counter,yellow_OS,red,aligned,23,Monday,off,aligned,1h,15m
2025-12-29T22:45:00+00:00,LONG,win,1.0,aligned,counter,counter,counter,counter,counter,yellow_OS,red,counter,22,Monday,off,aligned,2h,15m
2026-01-03T17:15:00+00:00,SHORT,loss,-1.0,counter,counter,aligned,counter,counter,counter,yellow_OB,green,counter,17,Saturday,off,aligned,1h,15m
2026-01-09T21:20:00+00:00,LONG,win,1.0,aligned,counter,counter,aligned,counter,counter,yellow_OS,grey_from_red,counter,21,Friday,off,aligned,1h,20m
2026-01-13T21:45:00+00:00,SHORT,loss,-1.0,counter,counter,counter,counter,counter,counter,red,green,counter,21,Tuesday,off,aligned,1h,15m
2026-01-24T01:15:00+00:00,LONG,win,1.0,counter,aligned,counter,counter,counter,counter,neutral,red,aligned,1,Saturday,Asia,aligned,1h,15m
2026-04-02T10:45:00+00:00,LONG,loss,-1.0,counter,counter,counter,counter,counter,counter,yellow_OS,red,counter,10,Thursday,London,aligned,1h,15m
2026-04-19T21:20:00+00:00,LONG,loss,-1.0,aligned,counter,counter,aligned,aligned,counter,green,red,counter,21,Sunday,off,aligned,1h,20m
