signal_time,direction,outcome,R,ob_tf,fvg_tf,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin,score,year
2020-06-20T16:15:00+00:00,LONG,win,1.0,2h,15m,counter,counter,counter,na,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,yellow_OS,yellow_OS,red,counter,red,counter,counter,counter,16,Saturday,NY,aligned,med,3,2020
2021-11-18T00:00:00+00:00,LONG,win,1.0,2h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,neutral,yellow_OS,green,aligned,red,counter,counter,counter,0,Thursday,Asia,aligned,med,3,2021
2022-01-07T20:45:00+00:00,LONG,loss,-1.0,1h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,neutral,yellow_OS,grey_from_red,aligned,red,counter,counter,counter,20,Friday,off,aligned,med,3,2022
2022-06-29T18:00:00+00:00,LONG,win,1.0,2h,15m,aligned,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,yellow_OS,yellow_OS,grey_from_red,aligned,red,counter,counter,aligned,18,Wednesday,off,aligned,med,3,2022
2022-07-15T13:45:00+00:00,SHORT,win,1.0,2h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,red,red,green,counter,green,counter,counter,aligned,13,Friday,NY,aligned,med,3,2022
2022-09-16T09:15:00+00:00,LONG,win,1.0,1h,15m,aligned,counter,counter,aligned,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,green,yellow_OS,grey_from_red,aligned,red,counter,counter,aligned,9,Friday,London,counter,low,3,2022
2022-09-16T09:15:00+00:00,LONG,win,1.0,1h,15m,aligned,counter,counter,aligned,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,green,yellow_OS,grey_from_red,aligned,red,counter,counter,aligned,9,Friday,London,counter,low,3,2022
2022-12-13T00:15:00+00:00,SHORT,win,1.0,2h,15m,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,counter,counter,red,neutral,green,counter,red,aligned,counter,aligned,0,Tuesday,Asia,counter,med,3,2022
2023-07-07T01:45:00+00:00,LONG,win,1.0,1h,15m,counter,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,yellow_OS,yellow_OS,red,counter,red,counter,counter,aligned,1,Friday,Asia,counter,high,3,2023
2024-02-09T14:20:00+00:00,SHORT,loss,-1.0,2h,20m,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,red,red,green,counter,green,counter,counter,counter,14,Friday,NY,aligned,high,3,2024
2024-02-23T23:30:00+00:00,LONG,loss,-1.0,2h,15m,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,yellow_OS,green,grey_from_red,aligned,red,counter,counter,aligned,23,Friday,off,aligned,low,3,2024
2024-05-11T15:15:00+00:00,LONG,win,1.0,2h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,aligned,counter,counter,counter,yellow_OS,yellow_OS,grey_from_red,aligned,red,counter,aligned,aligned,15,Saturday,NY,counter,low,3,2024
2025-09-26T15:20:00+00:00,LONG,win,1.0,2h,20m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,aligned,counter,counter,counter,neutral,green,grey_from_red,aligned,red,counter,counter,counter,15,Friday,NY,counter,med,3,2025
