pattern,period,n,failure_rate_pct,avg_move_pct,median_bars_to_extreme,busted_rate_pct,hit_target_rate_pct,half_target_rate_pct
barr_bottom,train,7,28.6,27.32,48,28.6,71.4,71.4
barr_top,train,13,23.1,17.95,18,38.5,46.2,53.8
barr_top,oos,4,25.0,8.27,22,50.0,25.0,75.0
big_m,train,87,20.7,16.04,30,58.6,77.0,89.7
big_m,oos,25,12.0,19.14,63,76.0,76.0,92.0
big_w,train,89,16.9,29.83,77,51.7,76.4,89.9
big_w,oos,30,16.7,17.9,74,56.7,83.3,93.3
db_eve_eve,train,49,16.3,29.62,53,53.1,71.4,89.8
db_eve_eve,oos,13,23.1,16.61,101,69.2,76.9,92.3
diamond_top,train,19,26.3,25.54,13,31.6,47.4,68.4
diamond_top,oos,3,0.0,11.47,46,66.7,33.3,100.0
hs_bottom,train,30,13.3,31.62,84,60.0,63.3,83.3
hs_bottom,oos,3,0.0,10.32,122,66.7,66.7,100.0
hs_top,train,30,13.3,18.35,44,53.3,70.0,86.7
hs_top,oos,9,22.2,16.92,60,88.9,88.9,88.9
triple_top,train,23,26.1,15.51,41,52.2,73.9,73.9
triple_top,oos,7,28.6,17.54,83,71.4,85.7,85.7
v_bottom,train,42,14.3,26.62,62,45.2,61.9,83.3
v_bottom,oos,8,25.0,20.2,115,75.0,50.0,75.0
v_top,train,23,17.4,20.18,45,52.2,56.5,78.3
v_top,oos,6,16.7,21.27,83,50.0,66.7,83.3
